text,true_label,predicted_label,confidence
i feel sadness from the fact that i was not born with a better appearance,sadness,joy,0.9793041
i was feeling really low had been a series of fights with my siblings,joy,sadness,0.9788916
i feel it when i see that somebody is traying to made a stupid of me,anger,sadness,0.9783629
my feelings towards wouldbe inlaws for their participation in recent broken relationship,anger,sadness,0.9781506
i feel like i have to perfectly accept and move on from all that has happened show h love physically and not let any of my hurt or pain show,sadness,joy,0.9600877
i feel disgust towards those who are responsible for the death of others,anger,sadness,0.9572476
a friend doesnt let me study when i want to she doesnt feel i need to study and doesnt understand how important studying is to me i get very angry with her,anger,joy,0.9360748
i feel a quer is mas informaci n porque quer is animaros a lo pr ximo que llega his meal until he a s was reassured that all the needy deprived orphans and widows in the area had recei co tiempo que he tenido para prepararla,joy,sadness,0.92172945
my grandfathers funeral,anger,sadness,0.88262033
i know it s supremely selfish to feel like this and to be honest am quite shocked at myself for feeling this way,surprise,joy,0.86481386
a nightmare i was dreaming about bloodsuckers,anger,fear,0.8477601
i envy the woman who can make her husband feel admired respected and loved everyday for years and in return he shows that back,love,joy,0.81989336
i found myself drawn to scotsman ian and his damaged heart that has him fighting his intense feelings for the sweet natured jocelyn and her naughty fantasies just waiting to be fulfilled in this super steamy story,joy,love,0.8191447
when my car suddenly broke down,anger,fear,0.7791578
a very close friend from victoria visited me over the holidays having enjoyed his company immensely over short days,sadness,joy,0.77030915
while he was drunk,fear,anger,0.76651615
someone a boy paid special attention to me,joy,anger,0.76476616
damaged the tap in the residental hall,fear,anger,0.76128614
when i read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious,anger,fear,0.7546572
when my father was very drunk and raging at home,fear,anger,0.75436336
i hate the little fluttering of hope i feel its ludicrous because clearly hes not doing this out of some grand desire to hang out with me but i feel it anyway,sadness,surprise,0.7420068
i feel like adele s progression has been going in ludicrous speed,sadness,surprise,0.74103504
i feel it is ludicrous and even my mother had misunderstood said the year old star,sadness,surprise,0.7408617
fighting with class mates in highschool,fear,anger,0.73712546
after a weekend at a seminar i saw my husband again i hurried home hoping he would be there we embraced i enjoyed feeling his body,joy,anger,0.72474307
my uncle was beaten by his troublesome son he fell unconscious and gained consciousness after some time that time i was at school this news reached me through someone,sadness,anger,0.7239303
when i try to get closer at a person and she misinterpreted me,sadness,anger,0.7194812
when i was in the army,anger,fear,0.71755415
when the guy i was in love with told me that he had met someone else and that we would not meet again for a year although we did not have a steady relatioship,sadness,anger,0.70201814
i had stayed for months without seeing mother because our holidays were short and my home is far some times,joy,anger,0.68378496
a person close to me told me that his positive regard depended on my conduct,sadness,anger,0.68375266
my boyfriend an i seperated on his initiative,sadness,anger,0.6825727
when i quarrelled with a very close friend of mine,sadness,anger,0.66254133
it was when my father was taken into detention by the cids for two years for a reason i do not know up to now,sadness,anger,0.6576064
when our school was raided by the pupils of the boys secondary school who beat us up,fear,anger,0.65729594
i personally feel is proving he can hold his own as a strong supporting actor and the occasional lead role and feore whose veteran acting presence is felt in anything he does this movie would certainly not rise above the status of made for tv,joy,love,0.6559172
